[@0,0:4='class',<4>,1:0]
[@1,6:12='Program',<5>,1:6]
[@2,14:14='{',<25>,1:14]
[@3,16:18='int',<17>,2:0]
[@4,20:20='x',<18>,2:4]
[@5,21:21=',',<30>,2:5]
[@6,23:23='y',<18>,2:7]
[@7,24:24=';',<29>,2:8]
[@8,28:31='void',<18>,4:1]
[@9,34:37='init',<18>,4:7]
[@10,39:39='(',<23>,4:12]
[@11,40:42='int',<17>,4:13]
[@12,44:45='x0',<18>,4:17]
[@13,46:46=',',<30>,4:19]
[@14,48:50='int',<17>,4:21]
[@15,52:53='y0',<18>,4:25]
[@16,54:54=')',<24>,4:27]
[@17,56:56='{',<25>,5:0]
[@18,59:59='x',<18>,6:1]
[@19,61:61='=',<20>,6:3]
[@20,63:64='x0',<18>,6:5]
[@21,65:65=';',<29>,6:7]
[@22,68:68='y',<18>,7:1]
[@23,70:70='=',<20>,7:3]
[@24,72:73='y0',<18>,7:5]
[@25,74:74=';',<29>,7:7]
[@26,76:76='}',<26>,8:0]
[@27,80:83='void',<18>,10:1]
[@28,86:89='plot',<18>,10:7]
[@29,91:91='(',<23>,10:12]
[@30,92:92=')',<24>,10:13]
[@31,94:94='{',<25>,11:0]
[@32,98:106='to_screen',<18>,13:1]
[@33,107:107='(',<23>,13:10]
[@34,108:108='x',<18>,13:11]
[@35,109:109=',',<30>,13:12]
[@36,110:110='y',<18>,13:13]
[@37,111:111=')',<24>,13:14]
[@38,112:112=';',<29>,13:15]
[@39,115:115='}',<26>,15:0]
[@40,118:118='}',<26>,17:0]
[@41,124:123='<EOF>',<-1>,22:0]
